Date,Close
2023-07-03,157.49200439453125
2023-07-04,157.7740020751953
2023-07-05,157.13999938964844
2023-07-06,156.84300231933594
2023-07-07,156.75999450683594
2023-07-10,155.9499969482422
2023-07-11,155.49099731445312
2023-07-12,154.3090057373047
2023-07-13,154.07000732421875
2023-07-14,154.95599365234375
2023-07-17,155.70399475097656
2023-07-18,155.88699340820312
2023-07-19,156.10299682617188
2023-07-20,156.41400146484375
2023-07-21,155.718994140625
2023-07-24,157.6929931640625
2023-07-25,156.54600524902344
2023-07-26,155.70899963378906
2023-07-27,155.49400329589844
2023-07-28,152.43099975585938
2023-07-31,155.16799926757812
2023-08-01,156.51300048828125
2023-08-02,157.35400390625
2023-08-03,156.86099243164062
2023-08-04,156.15499877929688
2023-08-07,156.0959930419922
2023-08-08,156.8090057373047
2023-08-09,157.0019989013672
2023-08-10,157.7689971923828
2023-08-11,159.06399536132812
2023-08-14,158.48800659179688
2023-08-15,158.63400268554688
2023-08-16,158.76800537109375
2023-08-17,159.12399291992188
2023-08-18,158.447998046875
2023-08-21,158.02000427246094
2023-08-22,159.36700439453125
2023-08-23,158.10299682617188
2023-08-24,157.1909942626953
2023-08-25,157.72500610351562
2023-08-28,158.20799255371094
2023-08-29,158.5449981689453
2023-08-30,158.66900634765625
2023-08-31,159.66799926757812
2023-09-01,157.74899291992188
2023-09-04,157.36000061035156
2023-09-05,158.13600158691406
2023-09-06,158.1300048828125
2023-09-07,158.39700317382812
2023-09-08,157.60299682617188
2023-09-11,157.6540069580078
2023-09-12,157.64100646972656
2023-09-13,158.22500610351562
2023-09-14,158.1320037841797
2023-09-15,156.8459930419922
2023-09-18,157.74099731445312
2023-09-19,157.81500244140625
2023-09-20,157.80499267578125
2023-09-21,157.9720001220703
2023-09-22,157.39700317382812
2023-09-25,158.04400634765625
2023-09-26,157.6009979248047
2023-09-27,157.51699829101562
2023-09-28,157.04200744628906
2023-09-29,157.7310028076172
2023-10-02,157.96200561523438
2023-10-03,157.04200744628906
2023-10-04,156.16000366210938
2023-10-05,156.5070037841797
