Date,Open,High,Low,Close,Adj Close,Volume
2003-10-01,2.1958999633789062,2.2004001140594482,2.178299903869629,2.1923999786376953,2.1923999786376953,0
2003-10-02,2.191800117492676,2.239799976348877,2.190000057220459,2.200000047683716,2.200000047683716,0
2003-10-03,2.1998000144958496,2.2253000736236572,2.1989998817443848,2.2235000133514404,2.2235000133514404,0
2003-10-06,2.2195000648498535,2.2269999980926514,2.2011001110076904,2.2044999599456787,2.2044999599456787,0
2003-10-07,2.203900098800659,2.211899995803833,2.1814000606536865,2.184999942779541,2.184999942779541,0
2003-10-08,2.185800075531006,2.1905999183654785,2.1738998889923096,2.1796000003814697,2.1796000003814697,0
2003-10-09,2.17930006980896,2.202500104904175,2.171999931335449,2.1958000659942627,2.1958000659942627,0
2003-10-10,2.19569993019104,2.1995999813079834,2.180999994277954,2.1840999126434326,2.1840999126434326,0
2003-10-13,2.1823999881744385,2.211899995803833,2.1802000999450684,2.198699951171875,2.198699951171875,0
2003-10-14,2.198699951171875,2.20989990234375,2.1986000537872314,2.200900077819824,2.200900077819824,0
2003-10-15,2.200900077819824,2.22379994392395,2.1995999813079834,2.2207000255584717,2.2207000255584717,0
2003-10-16,2.2207999229431152,2.2348999977111816,2.2165000438690186,2.2328999042510986,2.2328999042510986,0
2003-10-17,2.232300043106079,2.244499921798706,2.2248001098632812,2.228100061416626,2.228100061416626,0
2003-10-20,2.22760009765625,2.2379000186920166,2.223599910736084,2.2276999950408936,2.2276999950408936,0
2003-10-21,2.2286999225616455,2.233799934387207,2.2207999229431152,2.22760009765625,2.22760009765625,0
2003-10-22,2.228300094604492,2.2388999462127686,2.2202999591827393,2.225600004196167,2.225600004196167,0
2003-10-23,2.2256999015808105,2.228300094604492,2.2090001106262207,2.2219998836517334,2.2219998836517334,0
2003-10-24,2.2227001190185547,2.2300000190734863,2.2135000228881836,2.223900079727173,2.223900079727173,0
2003-10-27,2.229300022125244,2.2353999614715576,2.2263998985290527,2.2327001094818115,2.2327001094818115,0
2003-10-28,2.232100009918213,2.261199951171875,2.231300115585327,2.259500026702881,2.259500026702881,0
2003-10-29,2.259500026702881,2.2657999992370605,2.253999948501587,2.2590999603271484,2.2590999603271484,0
2003-10-30,2.2588999271392822,2.262399911880493,2.248699903488159,2.259399890899658,2.259399890899658,0
2003-10-31,2.259700059890747,2.276099920272827,2.2516000270843506,2.2699999809265137,2.2699999809265137,0
2003-11-03,2.272599935531616,2.289599895477295,2.267199993133545,2.2792999744415283,2.2792999744415283,0
2003-11-04,2.279400110244751,2.296299934387207,2.275899887084961,2.296299934387207,2.296299934387207,0
2003-11-05,2.2964000701904297,2.3025999069213867,2.284899950027466,2.293600082397461,2.293600082397461,0
2003-11-06,2.2901999950408936,2.298799991607666,2.283099889755249,2.297100067138672,2.297100067138672,0
2003-11-07,2.297300100326538,2.297499895095825,2.274899959564209,2.286099910736084,2.286099910736084,0
2003-11-10,2.288599967956543,2.293600082397461,2.281399965286255,2.2904999256134033,2.2904999256134033,0
2003-11-11,2.29010009765625,2.2908999919891357,2.261899948120117,2.269700050354004,2.269700050354004,0
2003-11-12,2.2695999145507812,2.2699999809265137,2.253200054168701,2.262500047683716,2.262500047683716,0
2003-11-13,2.2618000507354736,2.2669999599456787,2.252000093460083,2.253999948501587,2.253999948501587,0
2003-11-14,2.2539000511169434,2.2548999786376953,2.2360000610351562,2.239799976348877,2.239799976348877,0
2003-11-17,2.2337000370025635,2.242300033569336,2.226900100708008,2.240600109100342,2.240600109100342,0
2003-11-18,2.2411000728607178,2.242799997329712,2.1988000869750977,2.204900026321411,2.204900026321411,0
2003-11-19,2.204900026321411,2.221400022506714,2.196199893951416,2.2177999019622803,2.2177999019622803,0
2003-11-20,2.217600107192993,2.2197999954223633,2.2053000926971436,2.2155001163482666,2.2155001163482666,0
2003-11-21,2.2155001163482666,2.2181999683380127,2.2072999477386475,2.2118000984191895,2.2118000984191895,0
2003-11-24,2.2147998809814453,2.2400999069213867,2.212399959564209,2.2381999492645264,2.2381999492645264,0
2003-11-25,2.238100051879883,2.240499973297119,2.2311999797821045,2.2390999794006348,2.2390999794006348,0
2003-11-26,2.2388999462127686,2.2395999431610107,2.2105000019073486,2.2147998809814453,2.2147998809814453,0
2003-11-27,2.2149999141693115,2.232599973678589,2.213200092315674,2.226900100708008,2.226900100708008,0
2003-11-28,2.2265000343322754,2.230299949645996,2.216599941253662,2.2232000827789307,2.2232000827789307,0
2003-12-01,2.219599962234497,2.238300085067749,2.218400001525879,2.2307000160217285,2.2307000160217285,0
2003-12-02,2.2309000492095947,2.2409000396728516,2.221100091934204,2.226300001144409,2.226300001144409,0
2003-12-03,2.2262001037597656,2.2288999557495117,2.217099905014038,2.2202000617980957,2.2202000617980957,0
2003-12-04,2.2207000255584717,2.230799913406372,2.2083001136779785,2.216200113296509,2.216200113296509,0
2003-12-05,2.216200113296509,2.222599983215332,2.2007999420166016,2.2044999599456787,2.2044999599456787,0
2003-12-08,2.204400062561035,2.208400011062622,2.1902999877929688,2.1967999935150146,2.1967999935150146,0
2003-12-09,2.196700096130371,2.211199998855591,2.192199945449829,2.204400062561035,2.204400062561035,0
2003-12-10,2.2039999961853027,2.2149999141693115,2.2000999450683594,2.2074999809265137,2.2074999809265137,0
2003-12-11,2.2074999809265137,2.2279000282287598,2.2035999298095703,2.21589994430542,2.21589994430542,0
2003-12-12,2.2155001163482666,2.218899965286255,2.200700044631958,2.204200029373169,2.204200029373169,0
2003-12-15,2.2172000408172607,2.2221999168395996,2.198499917984009,2.2028000354766846,2.2028000354766846,0
2003-12-16,2.202399969100952,2.212399959564209,2.1951000690460205,2.2086000442504883,2.2086000442504883,0
2003-12-17,2.209399938583374,2.218100070953369,2.2039999961853027,2.212899923324585,2.212899923324585,0
2003-12-18,2.2126998901367188,2.221100091934204,2.2086000442504883,2.21370005607605,2.21370005607605,0
2003-12-19,2.213900089263916,2.222399950027466,2.20740008354187,2.2142999172210693,2.2142999172210693,0
2003-12-22,2.2155001163482666,2.218600034713745,2.20169997215271,2.217900037765503,2.217900037765503,0
2003-12-23,2.217600107192993,2.2239999771118164,2.213200092315674,2.2165000438690186,2.2165000438690186,0
2003-12-24,2.2165000438690186,2.2219998836517334,2.209399938583374,2.214400053024292,2.214400053024292,0
2003-12-25,2.2144999504089355,2.216599941253662,2.2065000534057617,2.2146999835968018,2.2146999835968018,0
2003-12-26,2.2146999835968018,2.223299980163574,2.2070999145507812,2.2230000495910645,2.2230000495910645,0
2003-12-29,2.22189998626709,2.2230000495910645,2.2107999324798584,2.2153000831604004,2.2153000831604004,0
2003-12-30,2.216099977493286,2.2177999019622803,2.205399990081787,2.208899974822998,2.208899974822998,0
2003-12-31,2.208899974822998,2.217900037765503,2.1974000930786133,2.2116000652313232,2.2116000652313232,0
2004-01-01,2.2116000652313232,2.2197000980377197,2.210400104522705,2.2137999534606934,2.2137999534606934,0
2004-01-02,2.213900089263916,2.223900079727173,2.208899974822998,2.223900079727173,2.223900079727173,0
