Date,Close
2014-07-03,114.51000213623047
2014-07-04,114.37999725341797
2014-07-07,114.08439636230469
2014-07-08,113.94999694824219
2014-07-09,113.6500015258789
2014-07-10,113.97000122070312
2014-07-11,113.44999694824219
2014-07-14,113.55999755859375
2014-07-15,113.83999633789062
2014-07-16,113.5
2014-07-17,113.15979766845703
2014-07-18,112.73999786376953
2014-07-21,112.8499984741211
2014-07-22,112.91999816894531
2014-07-23,112.47000122070312
2014-07-24,112.5199966430664
2014-07-25,112.72799682617188
2014-07-28,112.43699645996094
2014-07-29,112.62999725341797
2014-07-30,112.535400390625
2014-07-31,113.1510009765625
2014-08-01,113.0790023803711
2014-08-04,113.18000030517578
2014-08-05,113.06999969482422
2014-08-06,112.80500030517578
2014-08-07,112.48799896240234
2014-08-08,112.3291015625
2014-08-11,112.73999786376953
2014-08-12,112.69000244140625
2014-08-13,112.66999816894531
2014-08-14,112.86000061035156
2014-08-15,113.0199966430664
2014-08-18,113.33999633789062
2014-08-19,113.14689636230469
2014-08-20,113.18939971923828
2014-08-21,113.50240325927734
2014-08-22,113.88999938964844
2014-08-25,113.6500015258789
2014-08-26,113.5999984741211
2014-08-27,113.41790008544922
2014-08-28,113.5199966430664
2014-08-29,113.30380249023438
2014-09-01,113.34500122070312
2014-09-02,113.46119689941406
2014-09-03,114.447998046875
2014-09-04,114.25
2014-09-05,113.17320251464844
2014-09-08,112.9365005493164
2014-09-09,113.37000274658203
2014-09-10,113.80500030517578
2014-09-11,114.01499938964844
2014-09-12,114.41999816894531
2014-09-15,114.93000030517578
2014-09-16,114.49960327148438
2014-09-17,114.86000061035156
2014-09-18,115.14099884033203
2014-09-19,116.42659759521484
2014-09-22,115.86000061035156
2014-09-23,115.71800231933594
2014-09-24,115.52400207519531
2014-09-25,115.53919982910156
2014-09-26,114.73429870605469
2014-09-29,114.9010009765625
2014-09-30,115.01000213623047
2014-10-01,114.80000305175781
2014-10-02,114.01000213623047
2014-10-03,113.7300033569336
2014-10-06,113.44000244140625
2014-10-07,113.5
2014-10-08,112.89830017089844
2014-10-09,113.61810302734375
2014-10-10,112.99199676513672
2014-10-13,112.22000122070312
2014-10-14,112.68000030517578
2014-10-15,112.33999633789062
2014-10-16,112.54000091552734
2014-10-17,112.84349822998047
2014-10-20,113.12000274658203
2014-10-21,113.30999755859375
2014-10-22,112.71179962158203
2014-10-23,112.29000091552734
2014-10-24,113.37999725341797
2014-10-27,113.67790222167969
2014-10-28,113.58719635009766
2014-10-29,114.18099975585938
2014-10-30,113.98300170898438
2014-10-31,114.19000244140625
2014-11-03,116.97599792480469
2014-11-04,117.78700256347656
2014-11-05,118.26000213623047
2014-11-06,118.86000061035156
2014-11-07,118.37329864501953
2014-11-10,118.62999725341797
2014-11-11,118.552001953125
2014-11-12,119.96880340576172
2014-11-13,119.49600219726562
2014-11-14,120.1697006225586
2014-11-17,121.80599975585938
2014-11-18,120.87460327148438
2014-11-19,121.91500091552734
2014-11-20,123.31600189208984
2014-11-21,123.36499786376953
