Date,Close
2003-12-01,130.5800018310547
2003-12-02,131.44000244140625
2003-12-03,131.25999450683594
2003-12-04,130.75999450683594
2003-12-05,130.72999572753906
2003-12-08,131.25999450683594
2003-12-09,131.17999267578125
2003-12-10,132.10000610351562
2003-12-11,132.0
2003-12-12,132.27999877929688
2003-12-15,132.67999267578125
2003-12-16,132.5
2003-12-17,133.1699981689453
2003-12-18,133.7100067138672
2003-12-19,133.22999572753906
2003-12-22,133.27000427246094
2003-12-23,133.14999389648438
2003-12-24,133.58999633789062
2003-12-25,133.4600067138672
2003-12-26,133.41000366210938
2003-12-29,133.6199951171875
2003-12-30,134.22000122070312
2003-12-31,135.16000366210938
2004-01-01,135.00999450683594
2004-01-02,134.6699981689453
2004-01-05,134.8000030517578
2004-01-06,135.11000061035156
2004-01-07,134.17999267578125
2004-01-08,135.6199951171875
2004-01-09,136.8300018310547
2004-01-12,135.8000030517578
2004-01-13,135.85000610351562
2004-01-14,134.4199981689453
2004-01-15,133.9199981689453
2004-01-16,132.22999572753906
2004-01-19,132.41000366210938
2004-01-20,134.67999267578125
2004-01-21,135.22000122070312
2004-01-22,135.02999877929688
2004-01-23,134.4600067138672
2004-01-26,132.7899932861328
2004-01-27,133.4600067138672
2004-01-28,132.00999450683594
2004-01-29,131.4199981689453
2004-01-30,131.74000549316406
2004-02-02,131.16000366210938
2004-02-03,132.27000427246094
2004-02-04,132.22000122070312
2004-02-05,132.72999572753906
2004-02-06,133.94000244140625
2004-02-09,134.30999755859375
2004-02-10,133.91000366210938
2004-02-11,135.08999633789062
2004-02-12,134.99000549316406
2004-02-13,133.9199981689453
2004-02-16,134.5800018310547
2004-02-17,135.8000030517578
2004-02-18,135.35000610351562
2004-02-19,136.3800048828125
2004-02-20,136.64999389648438
2004-02-23,136.10000610351562
2004-02-24,137.1699981689453
2004-02-25,136.19000244140625
2004-02-26,136.27999877929688
2004-02-27,136.49000549316406
2004-03-01,135.57000732421875
2004-03-02,134.38999938964844
2004-03-03,134.24000549316406
2004-03-04,135.72000122070312
2004-03-05,138.50999450683594
2004-03-08,138.25999450683594
2004-03-09,137.25
2004-03-10,135.58999633789062
2004-03-11,136.85000610351562
2004-03-12,135.24000549316406
2004-03-15,135.35000610351562
2004-03-16,133.25
2004-03-17,132.3800048828125
2004-03-18,132.27999877929688
2004-03-19,130.86000061035156
2004-03-22,131.75999450683594
